work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,salary_range,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Business Intelligence Developer,15000,USD,15000,"Under $40,000",GH,Remote,GH,M
2020,EX,FT,Staff Data Analyst,15000,USD,15000,"Under $40,000",NG,In person,CA,M
2021,EN,FT,Machine Learning Developer,15000,USD,15000,"Under $40,000",TH,Remote,TH,L
2022,EN,FT,Data Analyst,15000,USD,15000,"Under $40,000",ID,In person,ID,L
2023,MI,FT,Data Analyst,866000,PHP,15680,"Under $40,000",PH,Hybrid,PH,L
2023,SE,FT,Data Analyst,1300000,INR,15809,"Under $40,000",IN,Remote,IN,S
2022,MI,FT,Computer Vision Engineer,1250000,INR,15897,"Under $40,000",IN,Remote,IN,M
2020,EN,PT,ML Engineer,14000,EUR,15966,"Under $40,000",DE,Remote,DE,S
2023,EN,FT,Data Scientist,16000,USD,16000,"Under $40,000",EC,Remote,EC,L
2021,EN,FT,Big Data Engineer,1200000,INR,16228,"Under $40,000",IN,Remote,IN,L
2023,MI,FT,Product Data Analyst,1350000,INR,16417,"Under $40,000",IN,Remote,IN,L
2022,EN,FT,Research Engineer,15662,EUR,16455,"Under $40,000",RU,Remote,RU,M
2024,EN,PT,Data Science,15000,EUR,16666,"Under $40,000",DE,Hybrid,DE,M
2021,MI,FT,Data Analyst,1250000,INR,16904,"Under $40,000",IN,Hybrid,IN,L
2021,MI,FT,Data Scientist,1250000,INR,16904,"Under $40,000",IN,Remote,IN,S
2023,MI,FT,Business Data Analyst,17000,USD,17000,"Under $40,000",AM,Remote,RU,L
2023,EN,FT,Data Engineer,1400000,INR,17025,"Under $40,000",IN,Remote,IN,L
2023,MI,FT,Data Scientist,1400000,INR,17025,"Under $40,000",IN,Remote,IN,L
2023,MI,FT,Data Analytics Lead,1440000,INR,17511,"Under $40,000",IN,Hybrid,SG,M
2024,EN,FT,Data Engineer,17598,USD,17598,"Under $40,000",MX,Hybrid,MX,L
2024,EN,FT,Big Data Engineer,17600,USD,17600,"Under $40,000",MX,Hybrid,MX,L
2022,EN,FT,Data Scientist,6600000,HUF,17684,"Under $40,000",HU,Remote,HU,M
2022,MI,FT,Business Data Analyst,1400000,INR,17805,"Under $40,000",IN,Remote,IN,M
2022,EN,FT,Data Scientist,1400000,INR,17805,"Under $40,000",IN,Remote,IN,M
2023,EN,FT,Data Analyst Lead,18000,USD,18000,"Under $40,000",NG,Remote,NG,S
2023,EN,FT,Data Engineer,18000,USD,18000,"Under $40,000",IN,Hybrid,IN,M
2021,MI,FT,Big Data Engineer,18000,USD,18000,"Under $40,000",MD,In person,MD,S
2021,EN,FT,AI Scientist,1335000,INR,18053,"Under $40,000",IN,Remote,AS,S
2023,EN,PT,Data Analyst,78000,PLN,18160,"Under $40,000",PL,Remote,IN,L
2023,MI,FT,Lead Data Analyst,1500000,INR,18241,"Under $40,000",IN,Hybrid,IN,L
2022,MI,FT,Business Data Analyst,1440000,INR,18314,"Under $40,000",IN,Hybrid,IN,L
2023,SE,FT,BI Analyst,360000,TRY,18381,"Under $40,000",TR,Remote,TR,L
2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,"Under $40,000",BR,In person,BR,M
2021,EN,PT,Computer Vision Software Engineer,120000,DKK,19073,"Under $40,000",DK,Hybrid,DK,L
2023,EN,FT,Data Scientist,18000,EUR,19434,"Under $40,000",GR,Remote,GR,L
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,"Under $40,000",IN,Remote,IN,L
2023,EN,FT,Data Scientist,101400,BRL,19910,"Under $40,000",BR,Remote,BR,L
2023,EN,FT,AI Scientist,20000,USD,20000,"Under $40,000",TR,Remote,TR,S
2023,MI,FT,Applied Scientist,20000,USD,20000,"Under $40,000",NG,Remote,US,L
2022,EN,FT,Data Analyst,20000,USD,20000,"Under $40,000",CR,Hybrid,US,M
2021,EN,FT,Machine Learning Research Engineer,20000,USD,20000,"Under $40,000",FR,Hybrid,FR,M
2022,MI,FT,Data Analyst,20000,USD,20000,"Under $40,000",GR,Remote,GR,S
2020,MI,FT,Product Data Analyst,20000,USD,20000,"Under $40,000",HN,In person,HN,S
2022,EN,FT,Data Analytics Engineer,20000,USD,20000,"Under $40,000",PK,In person,PK,M
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,"Under $40,000",IN,Remote,IN,S
2021,MI,FL,Data Engineer,20000,USD,20000,"Under $40,000",IT,In person,US,L
2021,SE,FT,Data Scientist,180000,TRY,20171,"Under $40,000",TR,Hybrid,TR,L
2023,EN,FT,Data Analyst,1700000,INR,20673,"Under $40,000",IN,Hybrid,IN,L
2023,MI,FT,Applied Data Scientist,1700000,INR,20673,"Under $40,000",IN,Remote,IN,L
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,"Under $40,000",IN,Hybrid,IN,L
2023,MI,FL,Data Science Consultant,21000,USD,21000,"Under $40,000",PK,Remote,LU,S
2022,EN,FT,ML Engineer,20000,EUR,21013,"Under $40,000",PT,Remote,PT,L
2023,EN,FT,AI Engineer,20000,EUR,21593,"Under $40,000",PT,Hybrid,PT,L
2023,EN,FT,Business Data Analyst,20000,EUR,21593,"Under $40,000",ES,In person,ES,M
2024,SE,FT,BI Developer,21600,USD,21600,"Under $40,000",PH,In person,PH,M
2021,EN,FT,Data Engineer,1600000,INR,21637,"Under $40,000",IN,Hybrid,IN,M
2020,EN,PT,Data Scientist,19000,EUR,21669,"Under $40,000",IT,Hybrid,IT,S
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,"Under $40,000",CO,Hybrid,CO,M
2021,MI,FT,Big Data Engineer,1672000,INR,22611,"Under $40,000",IN,In person,IN,L
2022,MI,FT,Machine Learning Scientist,22800,USD,22800,"Under $40,000",EG,Remote,EG,M
2020,EN,FT,Data Analyst,20000,EUR,22809,"Under $40,000",PT,Remote,PT,M
2022,EN,FT,Data Scientist,1800000,INR,22892,"Under $40,000",IN,Hybrid,IN,M
2022,MI,FT,Research Scientist,23000,USD,23000,"Under $40,000",IN,Remote,IN,L
2024,EN,FT,Data Analyst,21000,EUR,23333,"Under $40,000",ES,In person,ES,M
2023,EN,FT,Data Quality Engineer,22000,EUR,23753,"Under $40,000",PT,Hybrid,PT,L
2023,EN,FT,Data Scientist,24000,USD,24000,"Under $40,000",US,Remote,US,M
2022,MI,FT,Data Engineer,24000,USD,24000,"Under $40,000",US,In person,US,M
2022,MI,FT,Data Engineer,24000,USD,24000,"Under $40,000",US,In person,US,M
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,"Under $40,000",BR,Remote,BR,M
2022,EN,FT,Data Science Consultant,23000,EUR,24165,"Under $40,000",IT,Hybrid,IT,M
2023,EN,FT,AI Research Engineer,2000000,INR,24322,"Under $40,000",IN,Remote,CH,L
2023,MI,FT,Machine Learning Software Engineer,2000000,INR,24322,"Under $40,000",IN,Hybrid,IN,L
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,"Under $40,000",IN,Remote,IN,L
2023,MI,FT,Data Scientist,840000,THB,24613,"Under $40,000",TH,Hybrid,TH,L
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,"Under $40,000",DE,Hybrid,DE,M
2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,"Under $40,000",SI,Hybrid,SI,L
2023,EN,FT,AI Research Engineer,23100,EUR,24940,"Under $40,000",PT,Remote,PT,M
2023,EN,FT,BI Data Analyst,25000,USD,25000,"Under $40,000",UA,Remote,NL,M
2022,MI,FT,Data Scientist,25000,USD,25000,"Under $40,000",TR,Hybrid,TR,M
2022,SE,FT,Data Engineer,25000,USD,25000,"Under $40,000",US,Remote,US,M
2022,EN,PT,Data Analyst,24000,EUR,25216,"Under $40,000",ES,Remote,US,L
2023,MI,CT,ML Engineer,25500,USD,25500,"Under $40,000",US,Remote,US,S
2021,MI,FT,Data Scientist,21600,EUR,25532,"Under $40,000",RS,Remote,DE,S
2023,MI,FT,Data Scientist,24000,EUR,25912,"Under $40,000",IT,Remote,IT,S
2024,EN,FT,Data Science,26000,USD,26000,"Under $40,000",RO,Remote,RO,L
2021,MI,FT,Data Engineer,22000,EUR,26005,"Under $40,000",RO,In person,US,L
2023,EN,FT,Data Engineer,25000,EUR,26992,"Under $40,000",DE,Remote,DE,L
2024,EN,FT,ML Engineer,27000,USD,27000,"Under $40,000",TR,In person,TR,S
2024,EN,FT,Data Analytics Manager,27000,USD,27000,"Under $40,000",IN,Remote,AS,M
2023,MI,FT,Data Engineer,27000,USD,27000,"Under $40,000",PE,Remote,PT,S
2022,EN,FT,Data Science Consultant,26000,EUR,27317,"Under $40,000",ES,Hybrid,ES,L
2023,MI,FT,MLOps Engineer,140400,BRL,27568,"Under $40,000",BR,Remote,BR,L
2021,MI,FT,Data Engineer,250000,TRY,28016,"Under $40,000",TR,Remote,TR,M
2023,EN,FT,Data Analyst,23000,GBP,28299,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Analyst,23000,GBP,28299,"Under $40,000",GB,In person,GB,M
2022,EN,FT,Data Analyst,27000,EUR,28368,"Under $40,000",FR,Hybrid,FR,M
2021,MI,FT,Data Engineer,24000,EUR,28369,"Under $40,000",MT,Hybrid,MT,L
2021,EN,FT,Data Scientist,2100000,INR,28399,"Under $40,000",IN,Remote,IN,M
2021,MI,FT,Data Engineer,110000,PLN,28476,"Under $40,000",PL,Remote,PL,L
2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,"Under $40,000",DK,Hybrid,DK,S
2024,EN,FT,Data Analyst,23000,GBP,28750,"Under $40,000",GB,In person,GB,M
2024,EN,FT,Data Analyst,23000,GBP,28750,"Under $40,000",GB,In person,GB,M
2024,EN,FT,Data Analyst,23000,GBP,28750,"Under $40,000",GB,In person,GB,M
2024,EN,FT,Data Analyst,23000,GBP,28750,"Under $40,000",GB,In person,GB,M
2024,MI,FT,Research Engineer,26000,EUR,28888,"Under $40,000",PT,In person,PT,M
2024,EN,FT,Data Analyst,26000,EUR,28888,"Under $40,000",ES,In person,ES,M
2023,SE,FT,Data Science Consultant,1000000,THB,29301,"Under $40,000",TH,Hybrid,TH,M
2023,EN,FT,Applied Data Scientist,27500,EUR,29691,"Under $40,000",IT,Hybrid,IT,L
2021,EN,FT,Data Scientist,2200000,INR,29751,"Under $40,000",IN,Hybrid,IN,L
2022,SE,FT,Lead Data Scientist,28500,EUR,29944,"Under $40,000",PT,Hybrid,PT,S
2024,MI,FT,AI Programmer,30000,USD,30000,"Under $40,000",BA,In person,BA,S
2024,MI,FT,Data Engineer,24000,GBP,30000,"Under $40,000",GB,Remote,GB,M
2023,MI,CT,ML Engineer,30000,USD,30000,"Under $40,000",US,Remote,US,S
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,"Under $40,000",NG,Remote,NG,L
2023,EN,FT,Data Analyst,30000,USD,30000,"Under $40,000",IN,Hybrid,IN,M
2021,MI,FT,AI Scientist,30000,USD,30000,"Under $40,000",GH,In person,GH,S
2023,EN,FT,Data Analyst,30000,USD,30000,"Under $40,000",AR,Remote,US,S
2022,MI,FT,Data Scientist,30000,USD,30000,"Under $40,000",MX,Remote,MX,L
2022,EN,FT,Machine Learning Engineer,30000,USD,30000,"Under $40,000",GB,Remote,GB,L
2021,EN,FT,Data Engineer,2250000,INR,30428,"Under $40,000",IN,Remote,IN,L
2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,30469,"Under $40,000",TN,Remote,CZ,M
2022,MI,FL,Applied Machine Learning Scientist,2400000,INR,30523,"Under $40,000",IN,Remote,IN,S
2022,MI,FT,Data Scientist,2400000,INR,30523,"Under $40,000",IN,Remote,IN,L
2023,MI,FT,Business Intelligence Developer,25000,GBP,30760,"Under $40,000",GB,In person,GB,M
2023,MI,FT,Insight Analyst,25000,GBP,30760,"Under $40,000",GB,In person,GB,M
2024,EN,FT,Data Analyst,28069,EUR,31187,"Under $40,000",LT,In person,LT,M
2024,SE,FT,Data Scientist,25000,GBP,31250,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Scientist,29000,EUR,31310,"Under $40,000",ES,In person,ES,M
2022,EN,FT,AI Scientist,30000,EUR,31520,"Under $40,000",PT,Remote,ES,M
2022,EN,FT,Data Scientist,30000,EUR,31520,"Under $40,000",ES,Hybrid,ES,M
2022,MI,FT,Data Analyst,30000,EUR,31520,"Under $40,000",ES,Remote,ES,M
2022,MI,FT,Data Analyst,30000,EUR,31520,"Under $40,000",GR,Remote,GR,M
2022,MI,FT,Head of Data,30000,EUR,31520,"Under $40,000",EE,Remote,EE,S
2022,MI,FT,Data Scientist,2500000,INR,31795,"Under $40,000",IN,Remote,US,M
2024,MI,FT,Data Manager,25742,GBP,32177,"Under $40,000",ZA,In person,ZA,M
2023,EN,FT,Research Engineer,30000,EUR,32390,"Under $40,000",FR,In person,FR,M
2023,EN,FT,Data Scientist,30000,EUR,32390,"Under $40,000",NL,In person,NL,L
2023,MI,FT,AI Engineer,30390,EUR,32811,"Under $40,000",ES,Remote,ES,L
2023,MI,FT,NLP Engineer,2700000,INR,32834,"Under $40,000",IN,Remote,IN,M
2023,EN,FT,Data Scientist,26800,GBP,32974,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Scientist,26800,GBP,32974,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Analyst,26800,GBP,32974,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Analyst,26800,GBP,32974,"Under $40,000",GB,In person,GB,M
2022,EN,FT,Machine Learning Developer,33000,USD,33000,"Under $40,000",IT,Remote,DE,S
2023,EN,FT,Data Analyst,27000,GBP,33220,"Under $40,000",GB,In person,GB,M
2023,EN,FT,Data Analyst,27000,GBP,33220,"Under $40,000",GB,In person,GB,M
2022,EN,FT,Data Scientist,27000,GBP,33246,"Under $40,000",GB,Hybrid,GB,L
2024,MI,FT,AI Developer,30000,EUR,33333,"Under $40,000",FR,Hybrid,FR,M
2024,EN,FT,Data Scientist,26800,GBP,33500,"Under $40,000",GB,In person,GB,M
